IdEvaluacion;FechaEvaluacion;IdJugador;IdPosicion;PesoBrutoKg;TallaCorporalCm;TallaSentadoCM;DiametroBiacromial;DiametroToraxTransverso;DiametroToraxAnteroPosterior;DiametroBi-iliocrestideo;DiametroHumeralBiepicondilar;DiametroFemoralBiepicondilar;PerimetroCabeza;PerimetroBrazoRelajado;PerimetroBrazoFlexionadoEnTension;PerimetroAntebrazoMaximo;PerimetroToraxMesoesternal;PerimetroCinturaMinima;PerimetroCaderaMaximo;PerimetroMusloMaximo;PerimetroMusloMedial;PerimetroPantorrillaMaxima;PlieguesTriceps;PlieguesSubescapular;PlieguesSupraespinal;PlieguesAbdominal;PlieguesMusloMedial;PlieguesPantorrilla;Bicipital;Supracrestideo;Sumatoria 6 pliegues;Sumatoria 8 pliegues;MasaPielKg;MasaPielPer;MasaAdiposaKg;MasaAdiposaPer;MasaMuscularKg;MasaMuscularPer;MasaResidualKg;MasaResidualPer;MasaOseaKg;MasaOseaPer;IMO;IAM;ObjetivoGeneral;ObjetivoEspecifico;Comentarios;;
1;3/04/2023;320;16;70.8;171.5;89;39.8;30.3;21.3;25.3;6.9;9.9;54.6;28.8;32.4;27.3;98.5;77.6;94.4;56.8;56.6;37.6;3.8;6.4;3.8;4.2;4.8;3;;;26;;3.79;0.054;10.61;0.151;38.86;0.554;9.29;0.132;7.64;0.109;5.09;0.27;;;;;
2;4/05/2023;320;16;69.5;171.5;89;39.8;30.3;21.3;25.3;6.9;9.9;54.6;28.2;32.6;26.8;96.9;76.2;95.4;56.4;56.3;37.1;3.8;6.6;3.8;4.8;4.4;3;;;26.4;;3.79;0.055;10.68;0.156;37.44;0.546;9.01;0.132;7.64;0.111;4.90;0.29;;;;;
3;10/07/2023;320;16;70.4;171.5;89;39.8;30.3;21.3;25.3;6.9;9.9;54.6;28.4;32.4;27.6;96.7;76.5;93.6;56.6;56.6;37.8;3.8;6.4;3.8;4.2;4.4;3;;;25.6;;3.79;0.055;10.54;0.152;38.15;0.551;9.10;0.131;7.64;0.111;4.99;0.28;;;;;
4;23/08/2023;320;16;69.5;171.5;89;39.8;30.3;21.3;25.3;6.9;9.9;54.6;28.3;32.6;26.9;97.8;77.8;93.6;56.2;57;37.8;3.6;6.2;3.2;4.6;4.6;2.8;;;25;;3.79;0.055;10.44;0.151;38.16;0.551;9.30;0.134;7.64;0.110;4.99;0.27;;;;;
5;5/10/2023;320;16;70.1;171.5;89;39.8;30.3;21.3;25.3;6.9;9.9;54.6;28.4;32.4;27.3;98.8;76.1;94.1;57;56.6;37.9;3.6;5.8;3.8;4.2;4;2.8;;;24.2;;3.79;0.054;10.30;0.147;39.24;0.561;9.03;0.129;7.64;0.109;5.14;0.26;;;;;
6;20/10/2023;320;16;71.0;171.5;89;39.8;30.3;21.3;25.3;6.9;9.9;54.6;28.9;32.4;26.8;98;77.6;93.4;57;57;37.9;3.6;6;3.4;3.6;3.8;2.8;;;23.2;;3.79;0.054;10.13;0.145;38.92;0.558;9.32;0.134;7.64;0.110;5.09;0.26;Mantener Composición Corporal;0;El jugador mantiene una adecuada composición;;
7;29/03/2023;315;18;82.5;182.7;94.9;43.4;32.8;20.3;29.8;7.1;10.2;55.6;32.6;36.9;28.1;104.3;84.2;99.4;59.7;59;39.3;4;6.2;4.4;6.6;4.8;3;;;29;;4.20;0.050;13.08;0.154;46.57;0.549;11.04;0.130;9.89;0.117;4.71;0.28;;;;;
8;3/05/2023;315;18;83.4;182.7;94.9;43.4;32.8;20.3;29.8;7.1;10.2;55.6;33.4;37.5;27.9;104.6;83.8;99.1;59.9;59.3;39.3;3.8;6;4.2;4.8;4.6;2.8;;;26.2;;4.20;0.050;12.53;0.148;47.18;0.556;11.07;0.130;9.89;0.117;4.77;0.27;;;;;
9;12/06/2023;315;18;83.0;182.7;94.9;43.4;32.8;20.3;29.8;7.1;10.2;55.6;32.9;37.2;27.7;104.9;84;99.4;60;59.5;39.4;3.6;6.4;4.8;5.8;5;2.4;;;28;;4.20;0.049;12.88;0.151;47.07;0.553;11.05;0.130;9.89;0.116;4.76;0.27;;;;;
10;10/07/2023;315;18;81.6;182.7;94.9;43.4;32.8;20.3;29.8;7.1;10.2;55.6;32.8;37.4;27.6;104.3;83.6;97.3;59.4;59.4;38.8;3.2;6.2;4.2;5.2;4.8;2.8;;;26.4;;4.20;0.050;12.57;0.150;46.22;0.551;11.01;0.131;9.89;0.118;4.67;0.27;;;;;
