IdCompeticionTemporada;Nombre;FechaInicio;FechaTermino;IsActive;IdCompeticion;IdTemporada
1;Campeonato Betsson 2023;;;No;1;1
2;Campeonato Apertura Proyeccion 2023;;;No;2;1
3;Campeonato Clausura Proyeccion 2023;;;No;3;1
4;Campeonato Apertura SUB-17 2023;;;No;4;1
5;Campeonato Clausura SUB-17 2023;;;No;5;1
6;Campeonato Apertura SUB-16 2023;;;No;6;1
7;Campeonato Clausura SUB-16 2023;;;No;7;1
8;Campeonato Apertura SUB-15 2023;;;No;8;1
9;Campeonato Clausura SUB-15 2023;;;No;9;1
10;Campeonato Apertura SUB-14 2023;;;No;10;1
11;Campeonato Clausura SUB-14 2023;;;No;11;1
12;Campeonato Apertura SUB-13 2023;;;No;12;1
13;Campeonato Clausura SUB-13 2023;;;No;13;1
14;Campeonato Apertura SUB-12 2023;;;No;14;1
15;Campeonato Clausura SUB-12 2023;;;No;15;1
16;Campeonato Apertura SUB-11 2023;;;No;16;1
17;Campeonato Clausura SUB-11 2023;;;No;17;1
18;Campeonato Itau 2024;;;Si;1;3
19;Campeonato Apertura Proyeccion 2024;;;Si;2;3
20;Campeonato Clausura Proyeccion 2024;;;No;3;3
21;Campeonato Apertura SUB-18 2024;;;Si;39;3
22;Campeonato Clausura SUB-18 2024;;;No;40;3
23;Campeonato Apertura SUB-16 2024;;;Si;6;3
24;Campeonato Clausura SUB-16 2024;;;No;7;3
25;Campeonato Apertura SUB-15 2024;;;Si;8;3
26;Campeonato Clausura SUB-15 2024;;;No;9;3
27;Campeonato Apertura SUB-14 2024;;;Si;10;3
28;Campeonato Clausura SUB-14 2024;;;No;11;3
29;Campeonato Apertura SUB-13 2024;;;Si;12;3
30;Campeonato Clausura SUB-13 2024;;;No;13;3
31;Campeonato Apertura SUB-12 2024;;;Si;14;3
32;Campeonato Clausura SUB-12 2024;;;No;15;3
33;Campeonato Apertura SUB-11 2024;;;Si;16;3
34;Campeonato Clausura SUB-11 2024;;;No;17;3
35;Copa Gatorade SUB-20 2023;;;No;19;1
36;Copa Chile 2023;;;No;18;1
37;Copa Zapping 2023;;;No;28;1
38;Campeonato SUB-10 2023;;;No;31;1
39;Campeonato SUB-9 2023;;;No;32;1
40;Campeonato SUB-8 2023;;;No;33;1
41;Campeonato Apertura Proyeccion 2022;;;No;2;6
42;Campeonato Clausura Proyeccion 2022;;;No;3;6
43;Campeonato Apertura SUB-17 2022;;;No;4;6
44;Campeonato Clausura SUB-17 2022;;;No;5;6
45;Campeonato Apertura SUB-16 2022;;;No;6;6
46;Campeonato Clausura SUB-16 2022;;;No;7;6
47;Campeonato Apertura SUB-15 2022;;;No;8;6
48;Campeonato Clausura SUB-15 2022;;;No;9;6
49;Campeonato Apertura SUB-14 2022;;;No;10;6
50;Campeonato Clausura SUB-14 2022;;;No;11;6
51;Campeonato Apertura SUB-13 2022;;;No;12;6
52;Campeonato Clausura SUB-13 2022;;;No;13;6
53;Campeonato Apertura SUB-12 2022;;;No;14;6
54;Campeonato Clausura SUB-12 2022;;;No;15;6
55;Campeonato Apertura SUB-11 2022;;;No;16;6
56;Campeonato Clausura SUB-11 2022;;;No;17;6
57;Campeonato SUB-10 2022;;;No;31;6
58;Campeonato SUB-9 2022;;;No;32;6
59;Campeonato SUB-8 2022;;;No;33;6
60;Amistosos 2023;;;No;29;1
61;Campeonato Femenino SQM 2023;;;No;38;1
62;Campeonato Femenino Apertura SUB-19 2023;;;No;34;1
63;Campeonato Femenino Clausura SUB-19 2023;;;No;35;1
64;Campeonato Femenino Apertura SUB-16 2023;;;No;36;1
65;Campeonato Femenino Clausura SUB-16 2023;;;No;37;1
66;Amistosos 2024;;;Si;29;3
67;Copa Chile 2024;;;Si;18;3
68;Campeonato Femenino SQM 2024;;;Si;38;3
69;Campeonato Femenino Apertura SUB-19 2024;;;Si;34;3
70;Campeonato Femenino Clausura SUB-19 2024;;;Si;35;3
71;Campeonato Femenino Apertura SUB-16 2024;;;Si;36;3
