IdEstadisticaPartido;IdJugador;IdPartido;IdCT;Condicion;Minutos;Goles;Amarillas;Rojas;;;;;;;;;;;;;;;;
1;299;20;1;Titular;90;;;;;;;;;;;;;;;;;;;
2;300;20;1;No citado;;;;;;;;;;;;;;;;;;;;
3;301;20;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
4;302;20;1;No citado;;;;;;;;;;;;;;;;;;;;
5;303;20;1;Titular;90;;1;;;;;;;;;;;;;;;;;
6;304;20;1;Titular;90;;;;;;;;;;;;;;;;;;;
7;308;20;1;No citado;;;;;;;;;;;;;;;;;;;;
8;306;20;1;No citado;;;;;;;;;;;;;;;;;;;;
9;307;20;1;Titular;77;;;;;;;;;;;;;;;;;;;
10;305;20;1;Suplente ingresa;21;;;;;;;;;;;;;;;;;;;
11;309;20;1;Titular;90;1;1;;;;;;;;;;;;;;;;;
12;274;20;1;No citado;;;;;;;;;;;;;;;;;;;;
13;310;20;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
14;280;20;1;Titular;77;;1;;;;;;;;;;;;;;;;;
15;311;20;1;Suplente ingresa;13;;;;;;;;;;;;;;;;;;;
16;312;20;1;Titular;71;;;1;;;;;;;;;;;;;;;;
17;313;20;1;Titular;90;;;;;;;;;;;;;;;;;;;
18;314;20;1;No citado;;;;;;;;;;;;;;;;;;;;
19;315;20;1;No citado;;;;;;;;;;;;;;;;;;;;
20;316;20;1;Titular;88;;;;;;;;;;;;;;;;;;;
21;317;20;1;No citado;;;;;;;;;;;;;;;;;;;;
22;318;20;1;Titular;90;;1;;;;;;;;;;;;;;;;;
23;278;20;1;No citado;;;;;;;;;;;;;;;;;;;;
24;279;20;1;No citado;;;;;;;;;;;;;;;;;;;;
25;277;20;1;Suplente ingresa;2;1;;;;;;;;;;;;;;;;;;
26;320;20;1;Titular;69;;1;;;;;;;;;;;;;;;;;
27;275;20;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
28;321;20;1;Suplente ingresa;13;;;;;;;;;;;;;;;;;;;
29;21;20;1;No citado;;;;;;;;;;;;;;;;;;;;
30;5;20;1;No citado;;;;;;;;;;;;;;;;;;;;
31;276;20;1;No citado;;;;;;;;;;;;;;;;;;;;
32;323;20;1;No citado;;;;;;;;;;;;;;;;;;;;
33;299;21;1;Titular;90;;;;;;;;;;;;;;;;;;;
34;300;21;1;Suplente ingresa;13;;;;;;;;;;;;;;;;;;;
35;301;21;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
36;302;21;1;No citado;;;;;;;;;;;;;;;;;;;;
37;303;21;1;Titular;90;;1;;;;;;;;;;;;;;;;;
38;304;21;1;Titular;90;;;;;;;;;;;;;;;;;;;
39;308;21;1;No citado;;;;;;;;;;;;;;;;;;;;
40;307;21;1;Titular;90;;;;;;;;;;;;;;;;;;;
41;305;21;1;Titular;72;;;;;;;;;;;;;;;;;;;
42;309;21;1;Titular;90;1;;;;;;;;;;;;;;;;;;
43;274;21;1;No citado;;;;;;;;;;;;;;;;;;;;
44;310;21;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
45;280;21;1;No citado;;;;;;;;;;;;;;;;;;;;
46;311;21;1;Titular;77;;;;;;;;;;;;;;;;;;;
47;312;21;1;No citado;;;;;;;;;;;;;;;;;;;;
48;313;21;1;Titular;90;;1;;;;;;;;;;;;;;;;;
