IdEvaluacionPartido;IdPartido;IdCT;IdEvaluador;FechaEvaluacion;IdJugador;Condicion;IdPosicion;Nota;Comentario;;;;;;;;;;;;;;;;;
1;20;1;1;7/8/2023;299;Titular;1;1.5;Muy inseguro en el juego aEreo, pude haber cortado un par de los centros que terminaron en gol.;;;;;;;;;;;;;;;;;
2;20;1;1;7/8/2023;303;Titular;5;2.5;Defensivamente muy lejos de sus marcas, con balOn discreto;;;;;;;;;;;;;;;;;
3;20;1;1;7/8/2023;304;Titular;2;2;Descubre su espalda en un par de goles, con balOn, impreciso y nunca logrO desequilibrar;;;;;;;;;;;;;;;;;
4;20;1;1;7/8/2023;307;Titular;13;3;Movedizo, harto empuje, busca constAntemente generar peligro. Tiende a hacer faltas por Impetud;;;;;;;;;;;;;;;;;
5;20;1;1;7/8/2023;309;Titular;9;3.5;Sin destacar individualmente, logrO generar ventajas a travEs de condicciones y cambios de frente.;;;;;;;;;;;;;;;;;
6;20;1;1;7/8/2023;280;Titular;4;2;Muy desconcentrado en el segundo tiempo, mal posicionado en fase defensiva con lo que le filtraron a su espalda y terminaron en gol.;;;;;;;;;;;;;;;;;
7;20;1;1;7/8/2023;312;Titular;13;2;Se postea y descarga bien, sin se transcedente, hasta que se fue expulsado por reclamos;;;;;;;;;;;;;;;;;
8;20;1;1;7/8/2023;313;Titular;3;2.5;Defensivamente mal parado en algunas jugadas, mal ordenada la defensa, con balOn, poco preciso en las que estaba presionado.;;;;;;;;;;;;;;;;;
9;20;1;1;7/8/2023;316;Titular;5;3;Claro en las entregas, siempre busca jugar, harta movilidad. No logrO ser tan trascendente por el mal funcionamiento del equipo;;;;;;;;;;;;;;;;;
10;20;1;1;7/8/2023;318;Titular;3;2.5;Mal parado en los balones cruzados, con balOn, tendIa a lanzar mucho balOn largo sin precisiOn;;;;;;;;;;;;;;;;;
11;20;1;1;7/8/2023;320;Titular;8;2;Muy impreciso a pesar de sus ganas y constante movilidad. PerdiO balones que eran atacans prometedores.;;;;;;;;;;;;;;;;;
12;20;1;1;7/8/2023;305;Suplente ingresa;9;2;Ingreso sin gravitar, justo coincidiO con la expulsiOn de un compañero. No buscO participar activamente.;;;;;;;;;;;;;;;;;
13;20;1;1;7/8/2023;311;Suplente ingresa;4;3;Correcto defensivamente, mostrO actitud y con balOn, resolvIa bien.;;;;;;;;;;;;;;;;;
