IdPartido;IdCompeticionTemporada;Jornada;IdEquipoLocal;IdEquipoVisita;FechaPartido;NombreEvento;GolesLocal;GolesVisita;IsLocal;IsWon;;;;;;;;;;;;;;
1;1;1;1;8;23/01/2023;Temp. 2023 - Liga -  Jornada 1 - Universidad de Chile vs Huachipato;1;3;1;0;;;;;;;;;;;;;;
2;1;2;1;9;29/01/2023;Temp. 2023 - Liga -  Jornada 2 - Universidad de Chile vs Unión Española;1;0;1;1;;;;;;;;;;;;;;
3;1;3;25;1;5/02/2023;Temp. 2023 - Liga -  Jornada 3 - Palestino vs Universidad de Chile;2;0;0;0;;;;;;;;;;;;;;
4;1;4;1;10;12/02/2023;Temp. 2023 - Liga -  Jornada 4 - Universidad de Chile vs Magallanes;2;1;1;1;;;;;;;;;;;;;;
5;1;5;27;1;19/02/2023;Temp. 2023 - Liga -  Jornada 5 - O'Higgins vs Universidad de Chile;0;1;0;1;;;;;;;;;;;;;;
6;1;6;2;1;26/02/2023;Temp. 2023 - Liga -  Jornada 6 - Curicó Unido vs Universidad de Chile;1;3;0;1;;;;;;;;;;;;;;
7;1;7;1;11;5/03/2023;Temp. 2023 - Liga -  Jornada 7 - Universidad de Chile vs Unión La Calera;1;1;1;0;;;;;;;;;;;;;;
8;1;8;3;1;12/03/2023;Temp. 2023 - Liga -  Jornada 8 - Colo-Colo vs Universidad de Chile;0;0;0;0;;;;;;;;;;;;;;
9;1;9;1;12;19/03/2023;Temp. 2023 - Liga -  Jornada 9 - Universidad de Chile vs Deportes Copiapo;0;0;1;0;;;;;;;;;;;;;;
10;1;10;4;1;16/04/2023;Temp. 2023 - Liga -  Jornada 10 - Audax Italiano vs Universidad de Chile;1;2;0;1;;;;;;;;;;;;;;
11;1;11;5;1;23/04/2023;Temp. 2023 - Liga -  Jornada 11 - Everton vs Universidad de Chile;1;2;0;1;;;;;;;;;;;;;;
12;1;12;1;13;30/04/2023;Temp. 2023 - Liga -  Jornada 12 - Universidad de Chile vs Universidad Catolica;3;0;1;1;;;;;;;;;;;;;;
13;1;13;6;1;7/05/2023;Temp. 2023 - Liga -  Jornada 13 - Coquimbo Unido vs Universidad de Chile;2;1;0;0;;;;;;;;;;;;;;
14;1;14;1;14;14/05/2023;Temp. 2023 - Liga -  Jornada 14 - Universidad de Chile vs Cobresal;0;0;1;0;;;;;;;;;;;;;;
15;1;15;7;1;21/05/2023;Temp. 2023 - Liga -  Jornada 15 - Ñublense vs Universidad de Chile;1;1;0;0;;;;;;;;;;;;;;
16;1;16;8;1;9/07/2023;Temp. 2023 - Liga -  Jornada 16 - Huachipato vs Universidad de Chile;1;2;0;1;;;;;;;;;;;;;;
17;1;17;9;1;16/07/2023;Temp. 2023 - Liga -  Jornada 17 - Unión Española vs Universidad de Chile;3;0;0;0;;;;;;;;;;;;;;
18;1;18;1;25;23/07/2023;Temp. 2023 - Liga -  Jornada 18 - Universidad de Chile vs Palestino;0;1;1;0;;;;;;;;;;;;;;
19;1;19;10;1;30/07/2023;Temp. 2023 - Liga -  Jornada 19 - Magallanes vs Universidad de Chile;2;1;0;0;;;;;;;;;;;;;;
20;1;20;1;27;7/08/2023;Temp. 2023 - Liga -  Jornada 20 - Universidad de Chile vs O'Higgins;2;5;1;0;;;;;;;;;;;;;;
21;1;21;1;2;13/08/2023;Temp. 2023 - Liga -  Jornada 21 - Universidad de Chile vs Curicó Unido;1;1;1;0;;;;;;;;;;;;;;
22;1;22;11;1;27/08/2023;Temp. 2023 - Liga -  Jornada 22 - Unión La Calera vs Universidad de Chile;2;1;0;0;;;;;;;;;;;;;;
23;1;23;1;3;3/09/2023;Temp. 2023 - Liga -  Jornada 23 - Universidad de Chile vs Colo-Colo;1;1;1;0;;;;;;;;;;;;;;
24;1;24;12;1;24/09/2023;Temp. 2023 - Liga -  Jornada 24 - Deportes Copiapo vs Universidad de Chile;3;1;0;0;;;;;;;;;;;;;;
25;1;25;1;4;2/10/2023;Temp. 2023 - Liga -  Jornada 25 - Universidad de Chile vs Audax Italiano;2;0;1;1;;;;;;;;;;;;;;
26;1;26;1;5;8/10/2023;Temp. 2023 - Liga -  Jornada 26 - Universidad de Chile vs Everton;1;2;1;0;;;;;;;;;;;;;;
27;1;27;13;1;12/11/2023;Temp. 2023 - Liga -  Jornada 27 - Universidad Catolica vs Universidad de Chile;1;3;0;1;;;;;;;;;;;;;;
28;1;28;1;6;26/11/2023;Temp. 2023 - Liga -  Jornada 28 - Universidad de Chile vs Coquimbo Unido;1;2;1;0;;;;;;;;;;;;;;
29;1;29;14;1;3/12/2023;Temp. 2023 - Liga -  Jornada 29 - Cobresal vs Universidad de Chile;4;3;0;0;;;;;;;;;;;;;;
30;1;30;1;7;10/12/2023;Temp. 2023 - Liga -  Jornada 30 - Universidad de Chile vs Ñublense;3;1;1;0;;;;;;;;;;;;;;
31;60;1;15;1;9/04/2023;Temp. 2023 - Copa -  Jornada 1 - Chimbarongo vs Universidad de Chile;0;10;0;1;;;;;;;;;;;;;;
32;60;2;1;27;21/06/2023;Temp. 2023 - Copa -  Jornada 2 - Universidad de Chile vs O'Higgins;0;0;1;0;;;;;;;;;;;;;;
